date,store,item,qnty,group
2015-09-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-10-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-11-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-12-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-01-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-02-29,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-03-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-04-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-05-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-06-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-07-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-08-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-09-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-10-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-11-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2016-12-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-01-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-02-28,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-03-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-04-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-05-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-06-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-07-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-08-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-09-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-10-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-11-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2017-12-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-01-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-02-28,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-03-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-04-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-05-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-06-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-07-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-08-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-09-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-10-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-11-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2018-12-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
